entry_dt,settlement_dt,close_reason,k,entry_prem,exit_prem,volume,final_pnl
2024-01-03 10:00:00,2024-01-05 00:20:00,stop_loss,4770,40.2009,19.7862,1,-20.4147
2024-01-05 05:50:00,2024-01-08 14:55:00,take_profit,4720,40.6569,81.7627,1,41.1058
2024-01-16 05:35:00,2024-01-17 13:45:00,stop_loss,4790,42.9846,20.5662,1,-22.4185
2024-01-17 13:50:00,2024-01-19 04:00:00,take_profit,4750,43.2990,87.7881,1,44.4891
2024-01-17 02:30:00,2024-01-19 13:10:00,take_profit,4770,44.7691,91.0635,1,46.2944
2024-03-05 15:30:00,2024-03-07 09:35:00,take_profit,5130,46.2298,92.5847,1,46.3548
2024-03-05 14:05:00,2024-03-07 13:25:00,take_profit,5150,43.7002,88.3227,1,44.6225
2024-03-11 10:15:00,2024-03-12 15:00:00,take_profit,5170,44.1377,88.7862,1,44.6484
2024-03-14 15:35:00,2024-03-19 07:30:00,stop_loss,5200,43.7281,21.5418,1,-22.1864
2024-03-15 12:35:00,2024-03-20 14:45:00,take_profit,5180,44.3535,99.5580,1,55.2045
2024-03-22 11:00:00,2024-03-26 15:30:00,stop_loss,5290,48.6764,23.1441,1,-25.5323
2024-04-12 13:10:00,2024-04-15 13:20:00,stop_loss,5160,47.7697,23.5779,1,-24.1918
2024-04-12 15:15:00,2024-04-15 13:25:00,stop_loss,5160,42.4173,18.5981,1,-23.8191
2024-04-17 15:40:00,2024-04-18 20:50:00,stop_loss,5070,43.4842,21.4242,1,-22.0600
2024-04-19 15:05:00,2024-04-23 09:50:00,take_profit,5000,44.5177,89.3345,1,44.8168
2024-04-30 15:25:00,2024-05-01 05:05:00,stop_loss,5090,45.5180,22.6772,1,-22.8409
2024-05-13 23:35:00,2024-05-15 12:45:00,take_profit,5240,45.2601,91.0410,1,45.7809
2024-05-15 08:20:00,2024-05-16 10:55:00,take_profit,5270,46.6379,93.9838,1,47.3459
2024-05-16 16:35:00,2024-05-22 13:40:00,stop_loss,5320,44.6263,21.8307,1,-22.7956
2024-05-28 23:45:00,2024-05-29 22:20:00,stop_loss,5310,43.3765,21.4002,1,-21.9763
2024-05-29 07:30:00,2024-05-30 15:45:00,stop_loss,5290,47.7134,21.6597,1,-26.0536
2024-05-29 09:10:00,2024-05-30 20:10:00,stop_loss,5280,49.3807,23.1942,1,-26.1866
2024-05-31 12:30:00,2024-05-31 15:55:00,take_profit,5210,46.4414,103.1326,1,56.6912
2024-06-03 12:35:00,2024-06-05 11:40:00,take_profit,5260,47.6586,95.3503,1,47.6918
2024-05-30 01:30:00,2024-06-05 13:00:00,take_profit,5250,49.1042,99.0879,1,49.9837
2024-06-04 01:15:00,2024-06-05 18:00:00,take_profit,5300,47.1124,140.1944,1,93.0820
2024-06-20 13:10:00,2024-06-24 14:10:00,stop_loss,5540,48.4520,24.0462,1,-24.4058
2024-07-17 11:05:00,2024-07-18 11:30:00,stop_loss,5650,51.5655,24.4417,1,-27.1238
2024-07-17 12:45:00,2024-07-18 14:35:00,stop_loss,5640,49.3894,22.3601,1,-27.0293
2024-07-18 14:50:00,2024-07-21 18:00:00,stop_loss,5590,48.2512,23.0502,1,-25.2011
2024-07-19 12:55:00,2024-07-24 08:15:00,stop_loss,5560,46.9953,23.0028,1,-23.9925
2024-07-24 03:00:00,2024-07-24 11:20:00,stop_loss,5560,51.2965,24.2207,1,-27.0758
2024-08-01 13:50:00,2024-08-02 03:15:00,stop_loss,5470,47.0961,22.2743,1,-24.8218
2024-08-05 00:25:00,2024-08-05 01:50:00,stop_loss,5290,47.7807,18.4751,1,-29.3056
2024-08-05 06:45:00,2024-08-05 08:15:00,stop_loss,5220,46.1533,22.7567,1,-23.3965
2024-08-20 13:05:00,2024-08-26 13:45:00,stop_loss,5620,47.4952,20.7046,1,-26.7906
2024-08-21 04:35:00,2024-08-27 08:30:00,stop_loss,5620,51.3418,25.4568,1,-25.8850
2024-08-28 09:50:00,2024-08-28 13:55:00,stop_loss,5640,49.5681,24.3430,1,-25.2251
2024-09-02 02:50:00,2024-09-03 10:00:00,stop_loss,5650,51.7379,23.1570,1,-28.5810
2024-09-03 11:00:00,2024-09-03 20:35:00,stop_loss,5580,50.6970,23.4916,1,-27.2054
2024-09-03 14:30:00,2024-09-05 08:15:00,stop_loss,5560,47.2693,23.0485,1,-24.2208
2024-09-03 21:25:00,2024-09-06 03:10:00,stop_loss,5520,44.8731,20.5771,1,-24.2960
2024-09-05 03:00:00,2024-09-06 04:50:00,stop_loss,5520,50.6729,25.0108,1,-25.6621
2024-09-10 21:40:00,2024-09-11 13:40:00,take_profit,5490,47.6647,96.3148,1,48.6501
2024-10-01 10:35:00,2024-10-07 14:30:00,stop_loss,5750,53.1877,21.1272,1,-32.0605
2024-10-01 13:30:00,2024-10-07 14:30:00,stop_loss,5750,50.3672,21.1272,1,-29.2400
2024-10-21 01:25:00,2024-10-23 10:15:00,stop_loss,5900,55.7969,26.3303,1,-29.4666
2024-10-21 03:00:00,2024-10-23 10:15:00,stop_loss,5900,54.8891,26.3303,1,-28.5588
2024-10-21 07:30:00,2024-10-23 11:25:00,stop_loss,5890,50.4741,24.6269,1,-25.8472
2024-10-23 10:25:00,2024-10-23 14:10:00,stop_loss,5870,50.3528,24.7931,1,-25.5597
2024-10-23 11:35:00,2024-10-28 23:50:00,stop_loss,5850,52.0619,25.7923,1,-26.2696
2024-10-23 13:25:00,2024-10-30 09:40:00,stop_loss,5830,49.2798,22.9290,1,-26.3508
2024-10-29 09:40:00,2024-10-31 04:25:00,stop_loss,5850,49.9109,24.8712,1,-25.0397
2024-10-31 00:10:00,2024-10-31 10:40:00,stop_loss,5830,51.6923,25.5201,1,-26.1721
2024-10-31 14:10:00,2024-11-04 11:45:00,stop_loss,5750,51.8387,25.8531,1,-25.9856
2024-11-14 12:35:00,2024-11-15 03:20:00,stop_loss,5990,54.3171,27.0644,1,-27.2527
2024-12-02 05:10:00,2024-12-09 11:05:00,stop_loss,6040,54.3641,27.0823,1,-27.2818
2024-12-09 15:55:00,2024-12-13 10:55:00,stop_loss,6070,50.4625,24.9809,1,-25.4816
2024-12-19 20:00:00,2024-12-20 11:10:00,take_profit,5920,49.1420,100.8278,1,51.6858
2024-12-27 09:45:00,2024-12-27 12:15:00,stop_loss,6050,54.5075,26.6098,1,-27.8977
2024-12-27 12:25:00,2024-12-30 08:35:00,stop_loss,5990,53.1590,24.7331,1,-28.4258
2024-12-30 08:15:00,2024-12-31 14:30:00,stop_loss,5970,53.7753,26.6930,1,-27.0823
2024-12-30 10:05:00,2025-01-02 12:35:00,stop_loss,5930,51.9615,23.2407,1,-28.7208
2025-01-07 14:40:00,2025-01-09 18:30:00,stop_loss,5970,53.9412,26.1342,1,-27.8070
2025-01-10 11:40:00,2025-01-13 03:20:00,stop_loss,5870,49.3962,24.1887,1,-25.2074
2025-01-26 20:05:00,2025-01-27 03:15:00,stop_loss,6090,54.8224,26.3199,1,-28.5025
2025-01-27 01:50:00,2025-01-27 05:30:00,stop_loss,6050,54.5899,26.8175,1,-27.7724
2025-01-27 03:45:00,2025-01-29 01:35:00,take_profit,6020,52.0944,105.0867,1,52.9924
2025-02-07 12:05:00,2025-02-12 08:30:00,stop_loss,6060,55.5427,19.4241,1,-36.1186
2025-02-21 14:40:00,2025-02-24 16:00:00,stop_loss,6030,52.8851,26.0398,1,-26.8453
2025-02-27 22:50:00,2025-02-28 15:50:00,take_profit,5870,47.8792,98.3096,1,50.4304
2025-03-03 15:45:00,2025-03-04 09:55:00,stop_loss,5840,51.3219,22.5418,1,-28.7801
2025-03-04 08:20:00,2025-03-04 10:15:00,stop_loss,5820,50.7447,22.5466,1,-28.1982
2025-03-10 12:25:00,2025-03-10 14:55:00,stop_loss,5650,51.2320,23.6481,1,-27.5838
2025-03-10 13:50:00,2025-03-10 20:50:00,stop_loss,5630,47.2162,21.4954,1,-25.7208
2025-03-10 15:10:00,2025-03-11 13:20:00,stop_loss,5590,49.6341,24.6803,1,-24.9537
2025-03-11 13:35:00,2025-03-11 14:40:00,take_profit,5540,50.3606,101.7502,1,51.3896
2025-03-11 10:50:00,2025-03-13 11:35:00,stop_loss,5580,51.6532,24.7202,1,-26.9330
2025-03-13 13:50:00,2025-03-13 18:05:00,take_profit,5520,48.6992,98.6805,1,49.9813
2025-03-21 09:25:00,2025-03-23 20:00:00,take_profit,5660,52.1699,107.1146,1,54.9446
2025-04-03 09:25:00,2025-04-03 15:15:00,stop_loss,5510,49.9165,24.4719,1,-25.4446
2025-04-03 23:50:00,2025-04-04 06:15:00,stop_loss,5400,45.2762,20.7476,1,-24.5286
2025-04-04 04:15:00,2025-04-04 06:15:00,stop_loss,5400,48.2413,23.7685,1,-24.4728
2025-04-04 05:15:00,2025-04-04 06:20:00,stop_loss,5390,49.5792,20.7543,1,-28.8249
2025-04-04 12:35:00,2025-04-04 14:35:00,stop_loss,5190,45.8622,18.7573,1,-27.1049
2025-04-08 19:35:00,2025-04-09 00:25:00,stop_loss,4940,42.7392,21.0355,1,-21.7037
2025-04-16 00:20:00,2025-04-16 13:40:00,stop_loss,5380,48.2221,22.4589,1,-25.7632
2025-04-16 13:15:00,2025-04-16 13:50:00,stop_loss,5360,48.4388,23.6531,1,-24.7857
2025-04-21 04:00:00,2025-04-21 10:15:00,stop_loss,5260,47.4076,21.7981,1,-25.6094
2025-04-21 07:55:00,2025-04-21 10:50:00,stop_loss,5250,44.3472,22.1225,1,-22.2247
2025-04-21 13:25:00,2025-04-21 21:20:00,take_profit,5140,46.3605,94.7446,1,48.3841
2025-05-05 22:30:00,2025-05-06 16:25:00,stop_loss,5660,46.1502,22.8087,1,-23.3415
2025-05-15 05:15:00,2025-05-16 13:10:00,take_profit,5870,53.3511,107.2904,1,53.9393
2025-05-19 04:45:00,2025-05-19 13:00:00,take_profit,5900,51.6254,104.3061,1,52.6806
2025-05-19 00:00:00,2025-05-21 14:50:00,stop_loss,5910,55.7051,26.5494,1,-29.1557
2025-05-19 03:15:00,2025-05-21 14:55:00,stop_loss,5910,52.3311,25.5200,1,-26.8111
2025-05-21 02:50:00,2025-05-21 15:05:00,stop_loss,5930,51.9353,22.1440,1,-29.7914
2025-05-22 10:55:00,2025-05-23 07:40:00,stop_loss,5860,50.3145,23.6384,1,-26.6761
2025-07-07 13:05:00,2025-07-13 18:00:00,stop_loss,6270,54.4620,20.2738,1,-34.1882
2025-07-13 21:15:00,2025-07-21 16:00:00,expiry,6270,58.4974,76.7500,1,18.2526
2025-08-01 13:40:00,2025-08-04 15:50:00,take_profit,6250,56.5455,114.2610,1,57.7155
2025-08-05 18:20:00,2025-08-07 05:25:00,take_profit,6320,54.7840,109.6349,1,54.8509
2025-08-19 14:40:00,2025-08-20 10:50:00,stop_loss,6420,57.8571,28.5150,1,-29.3421
2025-08-19 21:45:00,2025-08-21 13:20:00,stop_loss,6420,54.3980,26.9240,1,-27.4739
2025-08-20 01:20:00,2025-08-27 16:00:00,expiry,6410,58.5800,82.5000,1,23.9200
2025-09-17 11:40:00,2025-09-18 03:50:00,take_profit,6600,60.0862,120.4878,1,60.4016
2025-09-25 09:10:00,2025-10-02 07:05:00,take_profit,6660,57.2836,115.0223,1,57.7388
2025-10-01 03:15:00,2025-10-03 10:35:00,take_profit,6690,58.4600,119.1400,1,60.6800
2025-10-10 15:15:00,2025-10-10 16:50:00,stop_loss,6630,59.7131,25.4938,1,-34.2193
2025-10-14 06:55:00,2025-10-14 12:45:00,take_profit,6620,57.9621,119.3786,1,61.4165
2025-10-14 04:05:00,2025-10-15 08:05:00,take_profit,6630,61.5447,126.0092,1,64.4645
2025-10-22 12:50:00,2025-10-24 11:20:00,take_profit,6740,56.7000,116.6603,1,59.9604
2025-10-30 16:00:00,2025-11-03 10:25:00,stop_loss,6880,57.0885,28.3133,1,-28.7752
2025-11-03 23:50:00,2025-11-04 19:00:00,stop_loss,6850,56.6386,27.3810,1,-29.2575
2025-11-04 01:30:00,2025-11-04 20:20:00,stop_loss,6820,63.8433,31.5301,1,-32.3131
2025-11-04 04:35:00,2025-11-06 10:40:00,stop_loss,6810,59.9434,28.2205,1,-31.7229
2025-11-07 11:15:00,2025-11-09 18:00:00,take_profit,6680,56.8371,121.8563,1,65.0192
2025-11-07 10:05:00,2025-11-10 03:30:00,take_profit,6700,59.9295,121.5535,1,61.6240
2025-11-13 11:25:00,2025-11-14 02:15:00,stop_loss,6800,59.0138,29.4621,1,-29.5517
2025-11-14 06:55:00,2025-11-17 14:35:00,stop_loss,6710,62.1626,28.9914,1,-33.1712
2025-11-17 15:15:00,2025-11-18 10:00:00,stop_loss,6670,56.8017,27.4628,1,-29.3389
2025-11-20 16:15:00,2025-11-21 13:45:00,take_profit,6560,55.0314,121.1495,1,66.1181
2025-11-20 14:05:00,2025-11-24 10:35:00,take_profit,6590,55.4206,113.8403,1,58.4197
2025-12-09 20:25:00,2025-12-10 18:00:00,take_profit,6840,60.5790,125.3738,1,64.7948
2025-12-10 11:05:00,2025-12-10 18:00:00,take_profit,6840,61.5082,129.0297,1,67.5215
2025-12-16 11:30:00,2025-12-17 15:50:00,stop_loss,6840,61.9597,29.5416,1,-32.4181
2025-12-16 13:20:00,2025-12-17 22:20:00,stop_loss,6830,58.5429,29.0812,1,-29.4617
2025-12-17 13:55:00,2025-12-19 12:20:00,take_profit,6790,58.4726,117.7775,1,59.3049
2025-12-29 02:20:00,2025-12-31 10:15:00,stop_loss,6970,63.2102,31.4763,1,-31.7339
2025-12-29 08:00:00,2025-12-31 14:30:00,stop_loss,6960,62.7394,30.4670,1,-32.2724
2025-12-31 04:00:00,2026-01-02 11:00:00,stop_loss,6930,61.1256,29.5955,1,-31.5301
2026-01-08 05:30:00,2026-01-14 09:40:00,stop_loss,6950,61.2898,28.9398,1,-32.3500
2026-01-19 00:20:00,2026-01-20 04:15:00,stop_loss,6920,61.5666,30.6154,1,-30.9512
2026-01-20 04:40:00,2026-01-22 09:35:00,take_profit,6850,63.2841,126.6840,1,63.3999
2026-02-02 01:25:00,2026-02-02 09:45:00,take_profit,6880,60.7542,123.2181,1,62.4640
2026-02-04 12:50:00,2026-02-05 10:10:00,stop_loss,6880,58.4330,27.8193,1,-30.6137
2026-02-05 18:55:00,2026-02-06 06:55:00,take_profit,6770,58.8105,118.3893,1,59.5788
2026-02-20 09:30:00,2026-02-24 09:30:00,stop_loss,6860,62.3681,29.0529,1,-33.3152
2026-03-02 03:30:00,2026-03-02 11:05:00,take_profit,6780,60.1230,124.4062,1,64.2832
2026-03-01 19:00:00,2026-03-03 05:30:00,stop_loss,6820,60.9532,28.6559,1,-32.2973
2026-03-03 05:15:00,2026-03-04 10:15:00,take_profit,6760,62.6385,126.8785,1,64.2400
2026-03-06 09:55:00,2026-03-08 18:00:00,stop_loss,6730,58.0249,16.7018,1,-41.3232
2026-03-08 22:20:00,2026-03-09 05:30:00,take_profit,6600,58.1074,120.6887,1,62.5813
2026-03-11 05:30:00,2026-03-11 22:35:00,stop_loss,6780,58.8722,27.6384,1,-31.2337
2026-03-12 10:40:00,2026-03-15 18:05:00,stop_loss,6700,61.6748,30.4562,1,-31.2186
2026-03-13 04:15:00,2026-03-18 02:20:00,take_profit,6700,58.2480,116.7532,1,58.5051
2026-03-18 13:30:00,2026-03-19 04:00:00,stop_loss,6720,60.0185,29.0723,1,-30.9462
2026-03-18 15:00:00,2026-03-19 08:00:00,stop_loss,6710,56.5560,27.8405,1,-28.7155
2026-03-19 04:45:00,2026-03-20 10:10:00,stop_loss,6650,62.1397,29.7290,1,-32.4107
2026-03-19 08:05:00,2026-03-20 10:10:00,stop_loss,6660,56.8386,26.4753,1,-30.3633
2026-03-19 09:15:00,2026-03-20 14:10:00,stop_loss,6640,57.7317,28.5466,1,-29.1851
2026-03-20 15:40:00,2026-03-23 02:40:00,stop_loss,6550,54.9205,26.6013,1,-28.3192
2026-03-26 15:45:00,2026-03-27 09:50:00,stop_loss,6530,56.1401,27.3744,1,-28.7657
2026-03-27 09:15:00,2026-03-27 14:50:00,stop_loss,6490,55.7648,27.7698,1,-27.9950
2026-03-27 14:15:00,2026-03-29 18:00:00,stop_loss,6430,55.5317,22.6999,1,-32.8318
2026-03-27 16:25:00,2026-03-30 15:10:00,stop_loss,6400,54.1268,26.5567,1,-27.5701
